stt,word,pronunciation,meaning,word_type,example,topic,source_url
warranty / / wor.ən.ti/,bảo hành,noun,The product comes with a two-year warranty. (Sản phẩm đi kèm với bảo hành hai năm.),,Sửa từXóa từ,TOEIC: 80 từ kỹ năng nghe (P2) Cô Mai Phương,https://luyentu.com/words
property / /'prpp.ǝ.ti/,tài sản,noun,They own several properties downtown. (Họ sở hữu nhiều bất động sản ở trung tâm thành phố.),,Sửa từXóa từ,TOEIC: 80 từ kỹ năng nghe (P2) Cô Mai Phương,https://luyentu.com/words
"confirmation / /,kon.fə'mer.fən/",sự xác nhận,noun,I received confirmation of my reservation. (Tôi đã nhận xác nhận về đặt chỗ của mình.),,Sửa từXóa từ,TOEIC: 80 từ kỹ năng nghe (P2) Cô Mai Phương,https://luyentu.com/words
avoid / /ǝ'vɔıd/,tránh,verb,Try to avoid unnecessary delays. (Cố gắng tránh những trì hoãn không cần thiết.),,Sửa từXóa từ,TOEIC: 80 từ kỹ năng nghe (P2) Cô Mai Phương,https://luyentu.com/words
electrical failure / /i'lek.trı.kəl.'fer.ljər/,sự mất điện,noun phrase,The building experienced an electrical failure. (Tòa nhà gặp sự cố mất điện.),,Sửa từXóa từ,TOEIC: 80 từ kỹ năng nghe (P2) Cô Mai Phương,https://luyentu.com/words
occur / /,xay ra,verb,The incident occurred last night. (Sự việc xảy ra vào đêm qua.),,Sửa từXóa từ,TOEIC: 80 từ kỹ năng nghe (P2) Cô Mai Phương,https://luyentu.com/words
unavailable / /,không có sẵn,adjective,The item is currently unavailable. (Mặt hàng này hiện đang không có sẵn.),,Sửa từXóa từ,TOEIC: 80 từ kỹ năng nghe (P2) Cô Mai Phương,https://luyentu.com/words
incorrect / /,không chính xác,adjective,Your answer is incorrect. (Đáp án của bạn không chính xác.),,Sửa từXóa từ,TOEIC: 80 từ kỹ năng nghe (P2) Cô Mai Phương,https://luyentu.com/words
absolutely / /'æb.sə'lu:t.li/,một cách chắc chắn,adverb,I am absolutely certain. (Tôi chắc chắn tuyệt đối.),,Sửa từXóa từ,TOEIC: 80 từ kỹ năng nghe (P2) Cô Mai Phương,https://luyentu.com/words
acquire / /ə'kwaıər/,đạt được,verb,She managed to acquire new skills. (Cô ấy đã cố gắng đạt được kỹ năng mới.),,Sửa từXóa từ,TOEIC: 80 từ kỹ năng nghe (P2) Cô Mai Phương,https://luyentu.com/words
significant / /sıg'nıf.1.kənt/,đáng kể,adjective,This result is highly significant. (Kết quả này có ý nghĩa rất lớn.),,Sửa từXóa từ,TOEIC: 80 từ kỹ năng nghe (P2) Cô Mai Phương,https://luyentu.com/words
restoration / / res.tər'er.fən/,"sự khôi phục, sự phục hồi",noun,The building's restoration took a year. (Việc phục hồi toà nhà mất một năm.),,Sửa từXóa từ,TOEIC: 80 từ kỹ năng nghe (P2) Cô Mai Phương,https://luyentu.com/words
stunning / /'stn.n/,tuyệt đẹp,adjective,She looked stunning in her dress. (Cô ấy trông tuyệt đẹp trong bộ váy của mình.),,Sửa từXóa từ,TOEIC: 80 từ kỹ năng nghe (P2) Cô Mai Phương,https://luyentu.com/words
unveil / /An΄verl/,tiết lộ,verb,The company will unveil the new product tomorrow. (Công ty sẽ tiết lộ sản phẩm mới vào ngày mai.),,Sửa từXóa từ,TOEIC: 80 từ kỹ năng nghe (P2) Cô Mai Phương,https://luyentu.com/words
anniversary / / æn.I'v3:.sər.i/,ngày kỷ niệm,noun,They celebrated their wedding anniversary. (Họ đã tổ chức kỷ niệm ngày cưới của mình.),,Sửa từXóa từ,TOEIC: 80 từ kỹ năng nghe (P2) Cô Mai Phương,https://luyentu.com/words
informal / /ın fo.məl/,không trang trọng,adjective,He prefers informal meetings. (Anh ấy thích các cuộc họp không chính thức.),,Sửa từXóa từ,TOEIC: 80 từ kỹ năng nghe (P2) Cô Mai Phương,https://luyentu.com/words
pharmaceutical / / fa:.mə'su:.tı.kəl/,thuộc dược,adjective,Pharmaceutical research is advancing rapidly. (Nghiên cứu dược phẩm đang tiến bộ nhanh chóng.),,Sửa từXóa từ,TOEIC: 80 từ kỹ năng nghe (P2) Cô Mai Phương,https://luyentu.com/words
durable / /'d3uə.rə.bəl/,bền,adjective,This sofa is durable. (Cái ghế sofa này bền.),,Sửa từXóa từ,TOEIC: 80 từ kỹ năng nghe (P2) Cô Mai Phương,https://luyentu.com/words
manufacturer / /mæn.jə'fæk.tfər.ər/,nhà sản xuất,noun,The manufacturer produces millions of units annually. (Nhà sản xuất tạo ra hàng triệu sản phẩm mỗi năm.),,Sửa từXóa từ,TOEIC: 80 từ kỹ năng nghe (P2) Cô Mai Phương,https://luyentu.com/words
mandatory / /'mæn.də.tər.i/,có tính bắt buộc,adjective,Wearing a helmet is mandatory. (Đội mũ bảo hiểm là bắt buộc.),,Sửa từXóa từ,TOEIC: 80 từ kỹ năng nghe (P2) Cô Mai Phương,https://luyentu.com/words
entire / /ın'taıər/,toàn bộ,adjective,The entire team is committed. (Toàn bộ đội ngũ đều cam kết.),,Sửa từXóa từ,TOEIC: 80 từ kỹ năng nghe (P2) Cô Mai Phương,https://luyentu.com/words
funding / /'f^n.dn/,tiển tài trợ,noun,The project received funding from the government. (Dự án đã nhận được tài trợ từ chính phủ.),,Sửa từXóa từ,TOEIC: 80 từ kỹ năng nghe (P2) Cô Mai Phương,https://luyentu.com/words
extend / /ik'stend/,"kéo dài, gia hạn",verb,They will extend the deadline. (Họ sẽ gia hạn thời hạn.),,Sửa từXóa từ,TOEIC: 80 từ kỹ năng nghe (P2) Cô Mai Phương,https://luyentu.com/words
assistance / /ǝ'sıs.təns/,sự hỗ trợ,noun,She requested assistance with the project. (Cô ấy yêu cầu sự giúp đỡ với dự án.),,Sửa từXóa từ,TOEIC: 80 từ kỹ năng nghe (P2) Cô Mai Phương,https://luyentu.com/words
apply for something / ,ứng tuyển cái gì,phrase,He decided to apply for the job. (Anh ấy quyết định ứng tuyển công việc.),,Sửa từXóa từ,TOEIC: 80 từ kỹ năng nghe (P2) Cô Mai Phương,https://luyentu.com/words
grant / /gra:nt/,"trợ cấp, tiền trợ cấp",noun/v,They received a research grant. (Họ nhận một khoản trợ cấp nghiên cứu.),,Sửa từXóa từ,TOEIC: 80 từ kỹ năng nghe (P2) Cô Mai Phương,https://luyentu.com/words
segment / /'seg.mənt/,phân khúc,noun,Market segmentation is important. (Phân khúc thị trường là quan trọng.),,Sửa từXóa từ,TOEIC: 80 từ kỹ năng nghe (P2) Cô Mai Phương,https://luyentu.com/words
state of the art / ,hiện đại nhất,phrase,The technology is state of the art. (Công nghệ là hiện đại nhất.),,Sửa từXóa từ,TOEIC: 80 từ kỹ năng nghe (P2) Cô Mai Phương,https://luyentu.com/words
athlete / /'æ0.li:t/,vận động viên,noun,The athlete broke the record. (Vận động viên đó phá kỷ lục.),,Sửa từXóa từ,TOEIC: 80 từ kỹ năng nghe (P2) Cô Mai Phương,https://luyentu.com/words
compete / /kəm'pi:t/,cạnh tranh,verb,Teams will compete in the tournament. (Các đội sẽ thi đấu trong giải đấu.),,Sửa từXóa từ,TOEIC: 80 từ kỹ năng nghe (P2) Cô Mai Phương,https://luyentu.com/words
delighted / /dı'laı.tıd/,"hài lòng, vui vẻ",adjective,She was delighted with the results. (Cô ấy rất hài lòng với kết quả.),,Sửa từXóa từ,TOEIC: 80 từ kỹ năng nghe (P2) Cô Mai Phương,https://luyentu.com/words
institute / /'n.str.tfu:t/,"viện, cơ sở",noun,The institute conducts research. (Viện tiến hành nghiên cứu.),,Sửa từXóa từ,TOEIC: 80 từ kỹ năng nghe (P2) Cô Mai Phương,https://luyentu.com/words
initiative / /1'nıf.ǝ.tıv/,sáng kiến,noun,They launched a new initiative. (Họ phát động một sáng kiến mới.),,Sửa từXóa từ,TOEIC: 80 từ kỹ năng nghe (P2) Cô Mai Phương,https://luyentu.com/words
preserve / /prı'z3:v/,"gìn giữ, bảo vệ",verb,We should preserve natural resources. (Chúng ta nên bảo vệ tài nguyên thiên nhiên.),,Sửa từXóa từ,TOEIC: 80 từ kỹ năng nghe (P2) Cô Mai Phương,https://luyentu.com/words
allocate / /'æl.ǝ.kert/,phân bổ,verb,Funds will be allocated for the project. (Vốn sẽ được phân bổ cho dự án.),,Sửa từXóa từ,TOEIC: 80 từ kỹ năng nghe (P2) Cô Mai Phương,https://luyentu.com/words
preliminary / /prı'lım.ı.nər.i/,sơ bộ,adjective,The preliminary results are promising. (Kết quả sơ bộ là đầy hứa hẹn.),,Sửa từXóa từ,TOEIC: 80 từ kỹ năng nghe (P2) Cô Mai Phương,https://luyentu.com/words
findings / /'faın.dınz/,"phát hiện, thông tin tìm được",noun,The findings were published recently. (Các phát hiện đã được công bố gần đây.),,Sửa từXóa từ,TOEIC: 80 từ kỹ năng nghe (P2) Cô Mai Phương,https://luyentu.com/words
forecasting / /'fɔ:ka:stın/,công việc dự báo,noun,Forecasting helps in planning. (Dự báo giúp trong việc lập kế hoạch.),,Sửa từXóa từ,TOEIC: 80 từ kỹ năng nghe (P2) Cô Mai Phương,https://luyentu.com/words
customize / /'kAs.tə.maız/,tùy chỉnh,verb,You can customize your profile. (Bạn có thể tùy chỉnh hồ sơ của mình.),,Sửa từXóa từ,TOEIC: 80 từ kỹ năng nghe (P2) Cô Mai Phương,https://luyentu.com/words
transplant / /træn'spla:nt/,cấy ghép,verb,He underwent a heart transplant. (Anh ấy đã trải qua ca ghép tim.),,Sửa từXóa từ,TOEIC: 80 từ kỹ năng nghe (P2) Cô Mai Phương,https://luyentu.com/words
variety / /və'raı.ə.ti/,"nhiều, đa dạng",noun,The store offers a variety of products. (Cửa hàng cung cấp nhiều loại sản phẩm.),,Sửa từXóa từ,TOEIC: 80 từ kỹ năng nghe (P2) Cô Mai Phương,https://luyentu.com/words
resident / /'rez.1.dənt/,cư dân,noun,The residents are friendly. (Cư dân rất thân thiện.),,Sửa từXóa từ,TOEIC: 80 từ kỹ năng nghe (P2) Cô Mai Phương,https://luyentu.com/words
promotion / /pra mou.fən/,sự quảng bá,noun,The promotion increased sales. (Chiến dịch quảng bá đã tăng doanh số.),,Sửa từXóa từ,TOEIC: 80 từ kỹ năng nghe (P2) Cô Mai Phương,https://luyentu.com/words
fill out / ,điền vào (đơn từ),phrase,Please fill out the application form. (Vui lòng điền vào mẫu đơn ứng tuyển.),,Sửa từXóa từ,TOEIC: 80 từ kỹ năng nghe (P2) Cô Mai Phương,https://luyentu.com/words
receipt / /rı'si:t/,biên lai,noun,Keep the receipt for returns. (Giữ biên lai để đổi hàng.),,Sửa từXóa từ,TOEIC: 80 từ kỹ năng nghe (P2) Cô Mai Phương,https://luyentu.com/words
engage / /In'gerd3/,"đính hôn, thu hút, thuê tuyển",verb,They plan to engage a new manager. (Họ dự định tuyển một quản lý mới.),,Sửa từXóa từ,TOEIC: 80 từ kỹ năng nghe (P2) Cô Mai Phương,https://luyentu.com/words
reside / /rı'zaıd/,cư trú,verb,He resides in the city. (Anh ấy cư trú trong thành phố.),,Sửa từXóa từ,TOEIC: 80 từ kỹ năng nghe (P2) Cô Mai Phương,https://luyentu.com/words
stimulation / / stım.jə'ler.fən/,sự kích thích,noun,The drug has a stimulating effect. (Thuốc có tác dụng kích thích.),,Sửa từXóa từ,TOEIC: 80 từ kỹ năng nghe (P2) Cô Mai Phương,https://luyentu.com/words
representative / / rep.rı'zen.tə.tıv/,người đại diện,noun,She is the company's representative. (Cô ấy là người đại diện của công ty.),,Sửa từXóa từ,TOEIC: 80 từ kỹ năng nghe (P2) Cô Mai Phương,https://luyentu.com/words
permission / /pə'mıf.ən/,sự cho phép,noun,You need permission to enter. (Bạn cần sự cho phép để vào.),,Sửa từXóa từ,TOEIC: 80 từ kỹ năng nghe (P2) Cô Mai Phương,https://luyentu.com/words
certified / /'s3:.tı.fard/,được chứng nhận,adjective,He is a certified professional. (Anh ấy là một chuyên gia được chứng nhận.),,Sửa từXóa từ,TOEIC: 80 từ kỹ năng nghe (P2) Cô Mai Phương,https://luyentu.com/words
determine / /dı't3:.mın/,xác định,verb,The test will determine the result. (Bài kiểm tra sẽ xác định kết quả.),,Sửa từXóa từ,TOEIC: 80 từ kỹ năng nghe (P2) Cô Mai Phương,https://luyentu.com/words
upcoming / /ap kam.mn/,sắp tới,adjective,The upcoming event is important. (Sự kiện sắp tới quan trọng.),,Sửa từXóa từ,TOEIC: 80 từ kỹ năng nghe (P2) Cô Mai Phương,https://luyentu.com/words
dependable / /dr'pen.də.bəl/,"có thể dựa vào, đáng tin cậy",adjective,She is a dependable employee. (Cô ấy là một nhân viên đáng tin cậy.),,Sửa từXóa từ,TOEIC: 80 từ kỹ năng nghe (P2) Cô Mai Phương,https://luyentu.com/words
reminder / /rı'maın.dər/,lời nhắc,noun,Set a reminder for the meeting. (Đặt lời nhắc cho cuộc họp.),,Sửa từXóa từ,TOEIC: 80 từ kỹ năng nghe (P2) Cô Mai Phương,https://luyentu.com/words
surrounding / /sə'raun.dın/,xung quanh,adjective,The surrounding area is scenic. (Vùng xung quanh rất đẹp.),,Sửa từXóa từ,TOEIC: 80 từ kỹ năng nghe (P2) Cô Mai Phương,https://luyentu.com/words
"opposition / /,ap.e'zıf.ən/",sự phản đối,noun,There was opposition to the plan. (Có sự phản đối kế hoạch.),,Sửa từXóa từ,TOEIC: 80 từ kỹ năng nghe (P2) Cô Mai Phương,https://luyentu.com/words
adjust / /ǝ'd3Ast/,điều chỉnh,verb,You can adjust the settings easily. (Bạn có thể điều chỉnh các cài đặt dễ dàng.),,Sửa từXóa từ,TOEIC: 80 từ kỹ năng nghe (P2) Cô Mai Phương,https://luyentu.com/words
justify / /'d3As.tI.far/,biện minh,verb,Can you justify your decision? (Bạn có thể biện minh cho quyết định của mình không?),,Sửa từXóa từ,TOEIC: 80 từ kỹ năng nghe (P2) Cô Mai Phương,https://luyentu.com/words
rave review / ,đánh giá khen ngợi,phrase,The movie received rave reviews. (Bộ phim nhận được nhiều lời khen ngợi.),,Sửa từXóa từ,TOEIC: 80 từ kỹ năng nghe (P2) Cô Mai Phương,https://luyentu.com/words
nutrition / /nju: 'trıf.ən/,dinh dưỡng,noun,Nutrition is essential for health. (Dinh dưỡng là thiết yếu cho sức khỏe.),,Sửa từXóa từ,TOEIC: 80 từ kỹ năng nghe (P2) Cô Mai Phương,https://luyentu.com/words
criticise / /'krıt.r.saız/,"chi trích, phê bình",verb,The article criticises the policy. (Bài báo phê bình chính sách.),,Sửa từXóa từ,TOEIC: 80 từ kỹ năng nghe (P2) Cô Mai Phương,https://luyentu.com/words
inconvenience / /ın.kən'vi:.ni.əns/,sự bất tiện,noun,Sorry for the inconvenience. (Xin lỗi về sự bất tiện.),,Sửa từXóa từ,TOEIC: 80 từ kỹ năng nghe (P2) Cô Mai Phương,https://luyentu.com/words
anticipate / /æn'tıs...pert/,dự đoán,verb,We anticipate increased sales. (Chúng tôi dự đoán doanh số tăng.),,Sửa từXóa từ,TOEIC: 80 từ kỹ năng nghe (P2) Cô Mai Phương,https://luyentu.com/words
wait in line / /weɪt ɪn laɪn/,xếp hàng,phrase,People have to wait in line to buy tickets. (Mọi người phải xếp hàng để mua vé.),,Sửa từXóa từ,TOEIC: 80 từ kỹ năng NGHE (P1) Cô Mai Phương,https://luyentu.com/words
wipe something off something / /waɪp ˈsʌmθɪŋ ɒf ˈsʌmθɪŋ/,"lau sạch, lau cởi",phrase,She wiped the table off. (Cô ấy lau sạch bàn.),,Sửa từXóa từ,TOEIC: 80 từ kỹ năng NGHE (P1) Cô Mai Phương,https://luyentu.com/words
throw away / /θroʊ əˈweɪ/,vứt bỏ,phrase,Please throw away the trash. (Vui lòng vứt rác đi.),,Sửa từXóa từ,TOEIC: 80 từ kỹ năng NGHE (P1) Cô Mai Phương,https://luyentu.com/words
shovel / /ˈʃʌv.əl/,"xẻng, xúc",noun,He used a shovel to dig the garden. (Anh ấy dùng xẻng để đào vườn.),,Sửa từXóa từ,TOEIC: 80 từ kỹ năng NGHE (P1) Cô Mai Phương,https://luyentu.com/words
rearrange / /ri:.əˈreɪn.dʒ/,sắp xếp lại,verb,They need to rearrange the furniture. (Họ cần sắp xếp lại nội thất.),,Sửa từXóa từ,TOEIC: 80 từ kỹ năng NGHE (P1) Cô Mai Phương,https://luyentu.com/words
vehicle / /ˈviː.ɪ.kəl/,phương tiện,noun,The vehicle was damaged in the accident. (Phương tiện bị hư trong tai nạn.),,Sửa từXóa từ,TOEIC: 80 từ kỹ năng NGHE (P1) Cô Mai Phương,https://luyentu.com/words
rack / /ræk/,giá đỡ,noun,He hung his clothes on the rack. (Anh ấy treo quần áo trên giá đỡ.),,Sửa từXóa từ,TOEIC: 80 từ kỹ năng NGHE (P1) Cô Mai Phương,https://luyentu.com/words
stack / /stæk/,"chồng, đống",noun,There is a stack of books on the table. (Có một đống sách trên bàn.),,Sửa từXóa từ,TOEIC: 80 từ kỹ năng NGHE (P1) Cô Mai Phương,https://luyentu.com/words
sweep / /swiːp/,quét,verb,She swept the floor thoroughly. (Cô ấy quét sàn sạch sẽ.),,Sửa từXóa từ,TOEIC: 80 từ kỹ năng NGHE (P1) Cô Mai Phương,https://luyentu.com/words
material / /məˈtɪə.ri.əl/,vật liệu,noun,The building is made of strong material. (Ngôi nhà được làm từ vật liệu chắc chắn.),,Sửa từXóa từ,TOEIC: 80 từ kỹ năng NGHE (P1) Cô Mai Phương,https://luyentu.com/words
mostly / /ˈməʊst.li/,"đa số, hầu hết",adverb,It is mostly sunny today. (Hôm nay chủ yếu trời nắng.),,Sửa từXóa từ,TOEIC: 80 từ kỹ năng NGHE (P1) Cô Mai Phương,https://luyentu.com/words
tenant / /ˈten.ənt/,khách thuê,noun,The tenant pays rent monthly. (Khách thuê trả tiền thuê hàng tháng.),,Sửa từXóa từ,TOEIC: 80 từ kỹ năng NGHE (P1) Cô Mai Phương,https://luyentu.com/words
vendor / /ˈven.dər/,"người bán, nhà cung cấp",noun,The vendor sells fresh vegetables. (Người bán hàng bán rau tươi.),,Sửa từXóa từ,TOEIC: 80 từ kỹ năng NGHE (P1) Cô Mai Phương,https://luyentu.com/words
maintenance / /ˈmeɪn.tən.əns/,sự bảo trì,noun,The machine requires regular maintenance. (Máy móc cần bảo trì định kỳ.),,Sửa từXóa từ,TOEIC: 80 từ kỹ năng NGHE (P1) Cô Mai Phương,https://luyentu.com/words
